;estado;cidade;pib;populacao;pib_percapita;sigla;regiao
5026;TOCANTINS;Santa Rosa do Tocantins;49180.37890625;4565;10773.36035156;TO;NORTE
5027;SÃO PAULO;Jaci;136558.5625;5556;24578.58007812;;
5028;RIO GRANDE DO SUL;Santa Clara do Sul;83222.2421875;5868;14182.38964844;RS;SUL
5029;SÃO PAULO;Monte Aprazível;439778.15625;21015;20926.86914062;;
5030;MINAS GERAIS;Delta;222820.390625;7210;30904.34960938;MG;SUDESTE
5031;SÃO PAULO;Murutinga do Sul;43550.0;4290;10151.51953125;;
5032;SÃO PAULO;Suzanápolis;106581.4296875;3805;28010.890625;;
5033;CEARÁ;Palhano;38838.16015625;9268;4190.56982422;;
5034;PIAUÍ;Nova Santa Rita;14452.109375;4199;3441.80004883;;
5035;SERGIPE;Santa Rosa de Lima;21898.6953125;3996;5480.14990234;SE;NORDESTE
5036;MINAS GERAIS;Ibertioga;36401.06640625;5206;6992.14013672;MG;SUDESTE
5037;BAHIA;Sítio do Mato;57113.71484375;13187;4331.06005859;BA;NORDESTE
5038;PARAÍBA;Piancó;74325.6484375;16455;4516.89990234;;
5039;GOIÁS;Rianápolis;74336.078125;4256;17466.1796875;;
5040;GOIÁS;Guapó;88643.953125;13973;6343.95019531;;
5041;MINAS GERAIS;Turvolândia;66255.15625;5020;13198.24023438;MG;SUDESTE
5042;RIO GRANDE DO SUL;Manoel Viana;97963.34375;6954;14087.33984375;RS;SUL
5043;RIO GRANDE DO NORTE;Vera Cruz;49257.3515625;10861;4535.25;RN;NORDESTE
5044;GOIÁS;Vicentinópolis;135124.515625;6093;22177.00976562;;
5045;SÃO PAULO;Nuporanga;139958.46875;7004;19982.65039062;;
5046;SÃO PAULO;Populina;59528.67578125;4253;13996.87011719;;
5047;MINAS GERAIS;Datas;26411.16992188;5696;4636.79003906;MG;SUDESTE
5048;SÃO PAULO;Iacanga;345773.4375;9732;35529.53125;;
5049;PARÁ;Alenquer;208143.0625;57067;3647.35009766;;
5050;BAHIA;Iuiú;54116.75;12093;4475.04980469;BA;NORDESTE
5051;RIO GRANDE DO SUL;Trindade do Sul;68865.65625;6105;11280.20996094;RS;SUL
5052;PIAUÍ;Monsenhor Gil;44702.359375;10639;4201.74023438;;
5053;BAHIA;Caturama;26457.0;8713;3036.5;BA;NORDESTE
5054;MINAS GERAIS;Carandaí;286908.25;23286;12321.05957031;MG;SUDESTE
5055;PARAÍBA;São José do Brejo do Cruz;8949.33886719;1707;5242.72998047;;
5056;RIO GRANDE DO SUL;Alto Alegre;33629.3828125;1945;17290.16992188;RS;SUL
5057;GOIÁS;Planaltina;376268.8125;79651;4723.97021484;;
5058;PARANÁ;Itaúna do Sul;27650.56640625;3621;7636.16992188;;
5059;MINAS GERAIS;Dores de Guanhães;28126.56054688;5751;4890.72998047;MG;SUDESTE
5060;RIO DE JANEIRO;Macuco;80818.03125;5626;14365.09960938;RJ;SUDESTE
5061;MINAS GERAIS;Conceição das Alagoas;493776.125;21938;22507.80078125;MG;SUDESTE
